Mobile_Name,Price,Ratings,Links,Technical_Specifications
SAMSUNG Guru Music 2,1997,4.3,/samsung-guru-music-2/p/itmdde40382e86b8?pid=MOBF54P4G66ZBJ9K&lid=LSTMOBF54P4G66ZBJ9KMDLPX5&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBF54P4G66ZBJ9K.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,NA ROM5.08 cm (2 inch) NA Display800 mAh Battery1 Year Manufacturer Warranty
SAMSUNG Galaxy M12 Blue 64 GB,10285,4.2,/samsung-galaxy-m12-blue-64-gb/p/itm062b6548d8904?pid=MOBGFG8GCPEGKGF4&lid=LSTMOBGFG8GCPEGKGF4I45MSI&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGFG8GCPEGKGF4.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,4 GB RAM | 64 GB ROM16.51 cm (6.5 inch) Display48MP Rear Camera6000 mAh Battery1 Year
SAMSUNG GURU MUSIC 2,1995,4.2,/samsung-guru-music-2/p/itm2c9ea56f8959f?pid=MOBGAFCZ7FDHRZRE&lid=LSTMOBGAFCZ7FDHRZREI8SCCV&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGAFCZ7FDHRZRE.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,8 MB RAM | 0 GB ROM | Expandable Upto 16 GB5.08 cm (2 inch) QVGA Display0MP | 0MP Front Camera800 mAh Battery0 0 0 208MHz Processor1 Year Manufacturer's Warranty
SAMSUNG Guru Music 2,1997,4.3,/samsung-guru-music-2/p/itmdde40382e86b8?pid=MOBGA6GQDBHUERUZ&lid=LSTMOBGA6GQDBHUERUZ4BYKPG&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGA6GQDBHUERUZ.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,NA ROM5.08 cm (2 inch) NA Display800 mAh Battery1 Year Manufacturer Warranty
SAMSUNG Galaxy M12 Black 64 GB,11192,4.2,/samsung-galaxy-m12-black-64-gb/p/itm425898eedc4ce?pid=MOBGFG8H4A32HTKJ&lid=LSTMOBGFG8H4A32HTKJ2GEOCH&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGFG8H4A32HTKJ.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,4 GB RAM | 64 GB ROM16.51 cm (6.5 inch) Display48MP Rear Camera6000 mAh Battery1 Year
SAMSUNG Guru Music 2,1995,4.1,/samsung-guru-music-2/p/itm2c9ea56f8959f?pid=MOBGA9U9XVMZ77NP&lid=LSTMOBGA9U9XVMZ77NP0PAXK8&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGA9U9XVMZ77NP.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,0.53 RAM | NA KB ROM | Expandable Upto 16 GB5.08 cm (2 inch) QVGA Display0MP Front Camera800 mAh BatteryNA 0 Single Core 208MHz Processor1 Year Manufacturer Warranty
SAMSUNG Galaxy F12 Sea Green 64 GB,11499,4.3,/samsung-galaxy-f12-sea-green-64-gb/p/itm4d3582cd695fd?pid=MOBGFG794YPQ9RAE&lid=LSTMOBGFG794YPQ9RAEGUPPTW&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGFG794YPQ9RAE.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.55 cm (6.515 inch) HD+ Display48MP + 5MP + 2MP + 2MP | 8MP Front Camera6000 mAh Lithium-ion BatteryExynos 850 Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
SAMSUNG Guru Music 2 SM-B315E,1995,4.2,/samsung-guru-music-2-sm-b315e/p/itmf050063b51944?pid=MOBE9VZBPVEGZC6X&lid=LSTMOBE9VZBPVEGZC6XATHIXD&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBE9VZBPVEGZC6X.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,Expandable Upto 16 GB5.08 cm (2 inch) QVGA Display0MP Front Camera800 mAh Battery0 0 0 208MHz Processor1 Year Manufacturer's Warranty
SAMSUNG Galaxy F12 Celestial Black 64 GB,11499,4.3,/samsung-galaxy-f12-celestial-black-64-gb/p/itmaae10b8db3909?pid=MOBGFG79FUDPXZXQ&lid=LSTMOBGFG79FUDPXZXQH5PM6N&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGFG79FUDPXZXQ.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.55 cm (6.515 inch) HD+ Display48MP + 5MP + 2MP + 2MP | 8MP Front Camera6000 mAh Lithium-ion BatteryExynos 850 Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
SAMSUNG Galaxy M12 White 64 GB,10965,4.2,/samsung-galaxy-m12-white-64-gb/p/itmfc7abd82822b2?pid=MOBGFG8GWBRPHMKT&lid=LSTMOBGFG8GWBRPHMKTREU0ZC&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGFG8GWBRPHMKT.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,4 GB RAM | 64 GB ROM16.51 cm (6.5 inch) Display48MP Rear Camera6000 mAh Battery1 Year
SAMSUNG GURU GT,1497,4.1,/samsung-guru-gt/p/itm15efc9f269431?pid=MOBG9ZWKBF3KCBQG&lid=LSTMOBG9ZWKBF3KCBQGQHQYXW&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBG9ZWKBF3KCBQG.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,153 MB RAM | 153 MB ROM3.81 cm (1.5 inch) Display800 mAh Battery1 Year Manufacturer Warranty
SAMSUNG Galaxy F12 Sky Blue 64 GB,11499,4.3,/samsung-galaxy-f12-sky-blue-64-gb/p/itm0319ce24f74aa?pid=MOBGFG79BVGDHGWV&lid=LSTMOBGFG79BVGDHGWVGF2CRI&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGFG79BVGDHGWV.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.55 cm (6.515 inch) HD+ Display48MP + 5MP + 2MP + 2MP | 8MP Front Camera6000 mAh Lithium-ion BatteryExynos 850 Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
SAMSUNG Galaxy M12 Blue 128 GB,13895,4.2,/samsung-galaxy-m12-blue-128-gb/p/itmcded83829eef4?pid=MOBGFZUHYABADANE&lid=LSTMOBGFZUHYABADANEPVO9ZD&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGFZUHYABADANE.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,6 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Display48MP Rear Camera6000 mAh Battery1 Year
SAMSUNG Galaxy F23 5G Forest Green 128 GB,15999,4.1,/samsung-galaxy-f23-5g-forest-green-128-gb/p/itm1fd5f52e56b16?pid=MOBGBKQFGJH8GH7M&lid=LSTMOBGBKQFGJH8GH7MAKQUSX&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_24&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGBKQFGJH8GH7M.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 750G Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
